role,dataset,category,language,original_file,academic_file,title
supplementary,tess,mapas_importancia_agregada,espanol,tess_aggregate_importance_selected_examples.png,espanol/material_suplementario/tess_importancia_agregada_ejemplos_seleccionados.png,TESS - Importancia agregada en ejemplos seleccionados
supplementary,tess,mapas_importancia_agregada,english,tess_aggregate_importance_selected_examples.png,english/supplementary_figures/tess_aggregate_importance_selected_examples.png,TESS - Aggregate importance over selected examples
supplementary,tess,matrices_confusion,espanol,tess_attention_focus_confusion_matrix.png,espanol/material_suplementario/tess_matriz_confusion_normalizada_resumen_atencion_xai.png,TESS - Matriz de confusion normalizada con resumen de atencion XAI
supplementary,tess,matrices_confusion,english,tess_attention_focus_confusion_matrix.png,english/supplementary_figures/tess_row_normalized_confusion_matrix_xai_attention_summary.png,TESS - Row-normalized confusion matrix with XAI attention summary
supplementary,tess,focos_atencion,espanol,tess_attention_focus_outcome_boxplot.png,espanol/material_suplementario/tess_boxplot_focos_atencion_dispersion_por_resultado.png,TESS - Boxplot de focos de atencion y dispersion por resultado
supplementary,tess,focos_atencion,english,tess_attention_focus_outcome_boxplot.png,english/supplementary_figures/tess_attention_focus_dispersion_boxplot_by_outcome.png,TESS - Attention-focus and dispersion boxplot by outcome
supplementary,tess,riesgo_atencion,espanol,tess_attention_quality_risk_scores.png,espanol/material_suplementario/tess_scores_calidad_riesgo_atencion_xai.png,TESS - Scores de calidad y riesgo de atencion XAI
supplementary,tess,riesgo_atencion,english,tess_attention_quality_risk_scores.png,english/supplementary_figures/tess_xai_attention_quality_and_risk_scores.png,TESS - XAI attention quality and risk scores
supplementary,tess,mapas_xai_individuales,espanol,tess_cerca_del_umbral_idx1007_xai_maps.png,espanol/material_suplementario/tess_mapa_xai_ejemplo_cerca_umbral_decision_idx1007.png,TESS - Mapa XAI de ejemplo cercano al umbral de decision (idx=1007)
supplementary,tess,mapas_xai_individuales,english,tess_cerca_del_umbral_idx1007_xai_maps.png,english/supplementary_figures/tess_xai_explanation_map_near_decision_threshold_idx1007.png,TESS - XAI explanation map for near-threshold example (idx=1007)
supplementary,tess,contrafactuales,espanol,tess_counterfactual_effects.png,espanol/material_suplementario/tess_analisis_contrafactual_efecto_probabilidad.png,TESS - Analisis contrafactual del efecto en probabilidad
supplementary,tess,contrafactuales,english,tess_counterfactual_effects.png,english/supplementary_figures/tess_counterfactual_probability_effect_analysis.png,TESS - Counterfactual probability-effect analysis
supplementary,tess,fidelidad_xai,espanol,tess_faithfulness_auc_by_method.png,espanol/material_suplementario/tess_fidelidad_auc_borrado_por_metodo_xai.png,TESS - Fidelidad por AUC de borrado segun metodo XAI
