dataset,case,index,method,target_label,deleted_fraction,base_probability,base_target_confidence,probability_after_deletion,target_confidence_after_deletion,confidence_drop
kepler,cerca_del_umbral,275,integrated_gradients,0,0.05,0.4931982159614563,0.5068017840385437,0.020892880856990814,0.9791071191430092,-0.4723053351044655
kepler,cerca_del_umbral,275,integrated_gradients,0,0.1,0.4931982159614563,0.5068017840385437,0.046423956751823425,0.9535760432481766,-0.4467742592096329
kepler,cerca_del_umbral,275,integrated_gradients,0,0.2,0.4931982159614563,0.5068017840385437,0.07628389447927475,0.9237161055207253,-0.41691432148218155
kepler,cerca_del_umbral,275,integrated_gradients,0,0.3,0.4931982159614563,0.5068017840385437,0.050873249769210815,0.9491267502307892,-0.4423249661922455
kepler,cerca_del_umbral,275,integrated_gradients,0,0.5,0.4931982159614563,0.5068017840385437,0.010411015711724758,0.9895889842882752,-0.48278720024973154
kepler,cerca_del_umbral,275,occlusion,0,0.0,0.4931982159614563,0.5068017840385437,0.4931982159614563,0.5068017840385437,0.0
kepler,cerca_del_umbral,275,occlusion,0,0.05,0.4931982159614563,0.5068017840385437,0.8779579997062683,0.12204200029373169,0.384759783744812
kepler,cerca_del_umbral,275,occlusion,0,0.1,0.4931982159614563,0.5068017840385437,0.9540233612060547,0.04597663879394531,0.4608251452445984
kepler,cerca_del_umbral,275,occlusion,0,0.2,0.4931982159614563,0.5068017840385437,0.8876916766166687,0.1123083233833313,0.3944934606552124
kepler,cerca_del_umbral,275,occlusion,0,0.3,0.4931982159614563,0.5068017840385437,0.24631215631961823,0.7536878436803818,-0.24688605964183807
kepler,cerca_del_umbral,275,occlusion,0,0.5,0.4931982159614563,0.5068017840385437,0.1806565821170807,0.8193434178829193,-0.3125416338443756
kepler,cerca_del_umbral,275,gradcam,0,0.0,0.4931982159614563,0.5068017840385437,0.4931982159614563,0.5068017840385437,0.0
kepler,cerca_del_umbral,275,gradcam,0,0.05,0.4931982159614563,0.5068017840385437,0.4981042742729187,0.5018957257270813,0.004906058311462402
kepler,cerca_del_umbral,275,gradcam,0,0.1,0.4931982159614563,0.5068017840385437,0.40438392758369446,0.5956160724163055,-0.08881428837776184
kepler,cerca_del_umbral,275,gradcam,0,0.2,0.4931982159614563,0.5068017840385437,0.02917873114347458,0.9708212688565254,-0.4640194848179817
kepler,cerca_del_umbral,275,gradcam,0,0.3,0.4931982159614563,0.5068017840385437,0.056537505239248276,0.9434624947607517,-0.436660710722208
kepler,cerca_del_umbral,275,gradcam,0,0.5,0.4931982159614563,0.5068017840385437,0.0032467087730765343,0.9967532912269235,-0.48995150718837976
kepler,cerca_del_umbral,275,gradcam_multiscale,0,0.0,0.4931982159614563,0.5068017840385437,0.4931982159614563,0.5068017840385437,0.0
kepler,cerca_del_umbral,275,gradcam_multiscale,0,0.05,0.4931982159614563,0.5068017840385437,0.6593012809753418,0.3406987190246582,0.1661030650138855
kepler,cerca_del_umbral,275,gradcam_multiscale,0,0.1,0.4931982159614563,0.5068017840385437,0.4758428633213043,0.5241571366786957,-0.017355352640151978
kepler,cerca_del_umbral,275,gradcam_multiscale,0,0.2,0.4931982159614563,0.5068017840385437,0.0037935059517621994,0.9962064940482378,-0.4894047100096941
kepler,cerca_del_umbral,275,gradcam_multiscale,0,0.3,0.4931982159614563,0.5068017840385437,0.00949849933385849,0.9905015006661415,-0.4836997166275978
kepler,cerca_del_umbral,275,gradcam_multiscale,0,0.5,0.4931982159614563,0.5068017840385437,0.04125137999653816,0.9587486200034618,-0.45194683596491814
kepler,cerca_del_umbral,275,consensus,0,0.0,0.4931982159614563,0.5068017840385437,0.4931982159614563,0.5068017840385437,0.0
kepler,cerca_del_umbral,275,consensus,0,0.05,0.4931982159614563,0.5068017840385437,0.32232847809791565,0.6776715219020844,-0.17086973786354065
kepler,cerca_del_umbral,275,consensus,0,0.1,0.4931982159614563,0.5068017840385437,0.7459335923194885,0.2540664076805115,0.2527353763580322
kepler,cerca_del_umbral,275,consensus,0,0.2,0.4931982159614563,0.5068017840385437,0.845287024974823,0.154712975025177,0.3520888090133667
kepler,cerca_del_umbral,275,consensus,0,0.3,0.4931982159614563,0.5068017840385437,0.21669495105743408,0.7833050489425659,-0.2765032649040222
kepler,cerca_del_umbral,275,consensus,0,0.5,0.4931982159614563,0.5068017840385437,0.020631583407521248,0.9793684165924788,-0.47256663255393505
kepler,falso_positivo,677,saliency,1,0.0,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.9931057095527649,0.0
