dataset,case,index,method,target_label,faithfulness_auc_norm,drop_at_05,drop_at_10,drop_at_20,max_drop,final_drop,negative_drop_fraction,monotonicity_fraction
kepler,positivo_correcto_alta_confianza,1132,gradcam,1,0.14841638207435603,0.0074799060821533,0.0110852718353271,0.1235317587852478,0.3554555177688598,0.3554555177688598,0.0,1.0
kepler,positivo_correcto_alta_confianza,1132,gradcam_multiscale,1,0.752475755289197,0.536454826593399,0.9404561445116996,0.4700868129730224,0.9580559358000756,0.9580559358000756,0.0,0.8
kepler,positivo_correcto_alta_confianza,1132,integrated_gradients,1,0.86054812297225,0.9555685259401798,0.9558978453278542,0.8169512450695038,0.9778620414435863,0.9778620414435863,0.0,0.8
kepler,positivo_correcto_alta_confianza,1132,occlusion,1,0.8432682190279592,0.1277554631233215,0.9232375174760818,0.9845696669071912,0.9968570555574844,0.9968570555574844,0.0,1.0
kepler,positivo_correcto_alta_confianza,1132,saliency,1,0.45807865262031555,0.0444204211235046,0.216423749923706,0.4545934796333313,0.9285314977169036,0.9285314977169036,0.0,1.0
kepler,positivo_correcto_alta_confianza,1132,smoothgrad,1,0.39561546966433525,0.060846984386444,0.1228373646736145,0.2805785536766052,0.9518045894801616,0.9518045894801616,0.0,1.0
tess,cerca_del_umbral,1007,consensus,0,-0.5182696092873811,-0.1101122498512268,-0.3814888596534729,-0.5063226670026779,0.0,-0.6872459836304188,0.8333333333333334,0.2
tess,cerca_del_umbral,1007,gradcam,0,-0.5536479339003562,-0.4702816903591156,-0.4637053906917572,-0.6710475012660027,0.0,-0.7228460982441902,0.8333333333333334,0.4
tess,cerca_del_umbral,1007,gradcam_multiscale,0,-0.10821682214736936,-0.1832263469696045,-0.204735517501831,-0.0989390015602111,0.0,-0.0639411211013794,0.8333333333333334,0.6
tess,cerca_del_umbral,1007,integrated_gradients,0,-0.6860745226003928,-0.7478192700364161,-0.7475978113943711,-0.7453102085273713,0.0,-0.6880259551107883,0.8333333333333334,0.8
tess,cerca_del_umbral,1007,occlusion,0,0.22266744375228875,0.1774168014526367,0.226012110710144,0.242622435092926,0.2463912367820739,0.2463912367820739,0.0,1.0
tess,cerca_del_umbral,1007,saliency,0,-0.6927220215322449,-0.6367257609963417,-0.7455422282218933,-0.7472880348796025,0.0,-0.7241153158247471,0.8333333333333334,0.4
