dataset,case,index,counterfactual,description,y_true,target_label,threshold,base_probability,counterfactual_probability,probability_delta,base_target_confidence,counterfactual_target_confidence,target_confidence_delta,pred_label_after,prediction_changed
kepler,falso_positivo,677,erase_local_transit,Aplana ventana central local,0,1,0.5000000000000001,0.9931057095527649,0.9563166499137878,-0.03678905963897705,0.9931057095527649,0.9563166499137878,-0.03678905963897705,1,0
kepler,falso_positivo,677,erase_both_transits,Aplana ventanas centrales global y local,0,1,0.5000000000000001,0.9931057095527649,0.0969337671995163,-0.8961719423532486,0.9931057095527649,0.0969337671995163,-0.8961719423532486,0,1
kepler,falso_positivo,677,deepen_local_transit,Profundiza valores negativos locales,0,1,0.5000000000000001,0.9931057095527649,0.9838449954986572,-0.009260714054107666,0.9931057095527649,0.9838449954986572,-0.009260714054107666,1,0
kepler,falso_positivo,677,shallow_local_transit,Reduce valores negativos locales,0,1,0.5000000000000001,0.9931057095527649,0.9880619049072266,-0.00504380464553833,0.9931057095527649,0.9880619049072266,-0.00504380464553833,1,0
kepler,falso_positivo,677,deepen_both_transits,Profundiza valores negativos globales y locales,0,1,0.5000000000000001,0.9931057095527649,0.5831853747367859,-0.409920334815979,0.9931057095527649,0.5831853747367859,-0.409920334815979,1,0
kepler,falso_positivo,677,shallow_both_transits,Reduce valores negativos globales y locales,0,1,0.5000000000000001,0.9931057095527649,0.9543931484222412,-0.03871256113052368,0.9931057095527649,0.9543931484222412,-0.03871256113052368,1,0
kepler,falso_negativo,1343,erase_global_transit,Aplana ventana central global,1,0,0.5000000000000001,0.0015448675258085132,0.0002908668539021164,-0.0012540006719063967,0.9984551324741915,0.9997091331460979,0.0012540006719063967,0,0
kepler,falso_negativo,1343,erase_local_transit,Aplana ventana central local,1,0,0.5000000000000001,0.0015448675258085132,0.00019874831195920706,-0.001346119213849306,0.9984551324741915,0.9998012516880408,0.001346119213849306,0,0
kepler,falso_negativo,1343,erase_both_transits,Aplana ventanas centrales global y local,1,0,0.5000000000000001,0.0015448675258085132,5.0207265303470194e-05,-0.001494660260505043,0.9984551324741915,0.9999497927346965,0.001494660260505043,0,0
kepler,falso_negativo,1343,deepen_local_transit,Profundiza valores negativos locales,1,0,0.5000000000000001,0.0015448675258085132,0.004938029684126377,0.003393162158317864,0.9984551324741915,0.9950619703158736,-0.003393162158317864,0,0
